inst#,actual,predicted,error,prediction
259,4:cat,6:dog,+,0.545
260,4:cat,6:dog,+,0.544
261,4:cat,5:deer,+,0.529
262,4:cat,10:truck,+,0.513
263,4:cat,6:dog,+,0.544
264,4:cat,5:deer,+,0.529
265,4:cat,4:cat,,0.374
266,4:cat,4:cat,,0.392
267,4:cat,10:truck,+,0.482
268,4:cat,8:horse,+,0.752
269,4:cat,3:bird,+,0.555
270,4:cat,6:dog,+,0.544
271,4:cat,6:dog,+,0.542
272,4:cat,4:cat,,0.444
273,4:cat,6:dog,+,0.544
274,4:cat,8:horse,+,0.722
275,4:cat,6:dog,+,0.544
276,4:cat,10:truck,+,0.513
277,4:cat,6:dog,+,0.545
278,4:cat,5:deer,+,0.559
279,4:cat,6:dog,+,0.53
280,4:cat,7:frog,+,0.446
281,4:cat,6:dog,+,0.544
282,4:cat,4:cat,,0.392
283,10:truck,10:truck,,0.658
284,10:truck,2:automobile,+,0.697
285,10:truck,10:truck,,0.648
286,10:truck,2:automobile,+,0.708
287,10:truck,10:truck,,0.658
288,10:truck,10:truck,,0.486
289,10:truck,9:ship,+,0.742
290,10:truck,10:truck,,0.648
291,10:truck,5:deer,+,0.56
292,10:truck,9:ship,+,0.738
293,10:truck,6:dog,+,0.544
294,10:truck,10:truck,,0.657
295,10:truck,10:truck,,0.658
296,10:truck,10:truck,,0.658
297,10:truck,10:truck,,0.637
298,10:truck,3:bird,+,0.585
299,10:truck,5:deer,+,0.577
300,10:truck,1:airplane,+,0.734
301,10:truck,10:truck,,0.648
302,10:truck,10:truck,,0.482
303,10:truck,10:truck,,0.513
304,10:truck,10:truck,,0.648
305,10:truck,10:truck,,0.658
306,10:truck,9:ship,+,0.742
307,10:truck,6:dog,+,0.544
308,10:truck,10:truck,,0.658
309,10:truck,1:airplane,+,0.451
310,10:truck,10:truck,,0.658
311,10:truck,3:bird,+,0.585
312,10:truck,7:frog,+,0.292
313,10:truck,10:truck,,0.658
314,10:truck,10:truck,,0.658
315,10:truck,6:dog,+,0.545
316,10:truck,10:truck,,0.486
317,10:truck,5:deer,+,0.529
318,10:truck,10:truck,,0.657
319,10:truck,10:truck,,0.513
320,10:truck,6:dog,+,0.544
321,10:truck,10:truck,,0.657
322,6:dog,6:dog,,0.324
323,6:dog,9:ship,+,0.733
324,6:dog,6:dog,,0.544
325,6:dog,6:dog,,0.544
326,6:dog,8:horse,+,0.539
327,6:dog,6:dog,,0.544
328,6:dog,4:cat,+,0.392
329,6:dog,6:dog,,0.545
330,6:dog,6:dog,,0.544
331,6:dog,3:bird,+,0.377
332,6:dog,1:airplane,+,0.727
333,6:dog,3:bird,+,0.377
334,6:dog,7:frog,+,0.446
335,6:dog,5:deer,+,0.56
336,6:dog,6:dog,,0.54
337,6:dog,10:truck,+,0.648
338,6:dog,6:dog,,0.544
339,6:dog,3:bird,+,0.726
340,6:dog,8:horse,+,0.539
341,6:dog,3:bird,+,0.595
342,6:dog,7:frog,+,0.558
343,6:dog,6:dog,,0.545
344,6:dog,7:frog,+,0.537
345,6:dog,6:dog,,0.544
346,6:dog,6:dog,,0.544
347,6:dog,6:dog,,0.545
348,6:dog,6:dog,,0.544
349,6:dog,6:dog,,0.545
350,6:dog,7:frog,+,0.446
351,6:dog,9:ship,+,0.487
352,6:dog,3:bird,+,0.555
353,6:dog,2:automobile,+,0.708
354,6:dog,8:horse,+,0.728
355,6:dog,6:dog,,0.545
356,6:dog,8:horse,+,0.755
357,6:dog,6:dog,,0.544
358,6:dog,3:bird,+,0.585
359,6:dog,4:cat,+,0.392
360,6:dog,9:ship,+,0.745
361,6:dog,5:deer,+,0.592
362,6:dog,3:bird,+,0.495
363,5:deer,8:horse,+,0.536
364,5:deer,5:deer,,0.577
365,5:deer,8:horse,+,0.75
366,5:deer,3:bird,+,0.37
367,5:deer,3:bird,+,0.37
368,5:deer,1:airplane,+,0.734
369,5:deer,3:bird,+,0.37
370,5:deer,5:deer,,0.529
371,5:deer,3:bird,+,0.377
372,5:deer,3:bird,+,0.377
373,5:deer,3:bird,+,0.377
374,5:deer,5:deer,,0.604
375,5:deer,5:deer,,0.529
376,5:deer,2:automobile,+,0.387
377,5:deer,3:bird,+,0.377
378,5:deer,5:deer,,0.604
379,5:deer,3:bird,+,0.377
380,5:deer,3:bird,+,0.629
381,5:deer,8:horse,+,0.748
382,5:deer,3:bird,+,0.377
383,5:deer,5:deer,,0.56
384,5:deer,3:bird,+,0.37
385,5:deer,3:bird,+,0.37
386,5:deer,5:deer,,0.6
387,5:deer,10:truck,+,0.513
388,5:deer,5:deer,,0.559
389,5:deer,3:bird,+,0.69
390,5:deer,5:deer,,0.6
391,5:deer,3:bird,+,0.595
392,5:deer,5:deer,,0.604
393,5:deer,1:airplane,+,0.631
394,5:deer,8:horse,+,0.753
395,5:deer,5:deer,,0.604
396,5:deer,5:deer,,0.604
397,5:deer,2:automobile,+,0.586
398,5:deer,3:bird,+,0.37
399,5:deer,3:bird,+,0.37
400,5:deer,1:airplane,+,0.733
1,7:frog,7:frog,,0.585
2,7:frog,4:cat,+,0.464
3,7:frog,6:dog,+,0.561
4,7:frog,5:deer,+,0.484
5,7:frog,6:dog,+,0.567
6,7:frog,8:horse,+,0.638
7,7:frog,6:dog,+,0.57
8,7:frog,2:automobile,+,0.28
9,7:frog,6:dog,+,0.572
10,7:frog,6:dog,+,0.571
11,7:frog,3:bird,+,0.477
12,7:frog,6:dog,+,0.571
13,7:frog,7:frog,,0.585
14,7:frog,5:deer,+,0.461
15,7:frog,3:bird,+,0.517
16,7:frog,5:deer,+,0.461
17,7:frog,6:dog,+,0.567
18,7:frog,6:dog,+,0.575
19,7:frog,3:bird,+,0.517
20,7:frog,7:frog,,0.587
21,7:frog,5:deer,+,0.484
22,7:frog,7:frog,,0.587
23,7:frog,6:dog,+,0.572
24,7:frog,6:dog,+,0.573
25,7:frog,7:frog,,0.588
26,7:frog,8:horse,+,0.345
27,7:frog,5:deer,+,0.461
28,7:frog,6:dog,+,0.567
29,7:frog,5:deer,+,0.461
30,7:frog,7:frog,,0.585
31,7:frog,10:truck,+,0.679
32,7:frog,5:deer,+,0.461
33,7:frog,5:deer,+,0.484
34,7:frog,4:cat,+,0.464
35,7:frog,7:frog,,0.585
36,7:frog,3:bird,+,0.517
37,7:frog,6:dog,+,0.571
38,7:frog,7:frog,,0.587
39,7:frog,5:deer,+,0.484
40,7:frog,7:frog,,0.585
41,7:frog,7:frog,,0.587
42,9:ship,9:ship,,0.624
43,9:ship,2:automobile,+,0.671
44,9:ship,9:ship,,0.44
45,9:ship,9:ship,,0.392
46,9:ship,9:ship,,0.592
47,9:ship,1:airplane,+,0.853
48,9:ship,9:ship,,0.392
49,9:ship,9:ship,,0.649
50,9:ship,9:ship,,0.59
51,9:ship,1:airplane,+,0.518
52,9:ship,2:automobile,+,0.321
53,9:ship,9:ship,,0.427
54,9:ship,9:ship,,0.44
55,9:ship,9:ship,,0.59
56,9:ship,9:ship,,0.427
57,9:ship,4:cat,+,0.487
58,9:ship,9:ship,,0.392
59,9:ship,1:airplane,+,0.852
60,9:ship,9:ship,,0.586
61,9:ship,3:bird,+,0.71
62,9:ship,9:ship,,0.59
63,9:ship,2:automobile,+,0.671
64,9:ship,9:ship,,0.59
65,9:ship,8:horse,+,0.626
66,9:ship,10:truck,+,0.679
67,9:ship,9:ship,,0.675
68,9:ship,9:ship,,0.649
69,9:ship,9:ship,,0.441
70,9:ship,6:dog,+,0.574
71,9:ship,8:horse,+,0.641
72,9:ship,9:ship,,0.44
73,9:ship,9:ship,,0.586
74,9:ship,9:ship,,0.59
75,9:ship,9:ship,,0.686
76,9:ship,9:ship,,0.649
77,9:ship,9:ship,,0.675
78,9:ship,9:ship,,0.392
79,9:ship,1:airplane,+,0.583
80,9:ship,1:airplane,+,0.412
81,9:ship,9:ship,,0.586
82,1:airplane,1:airplane,,0.854
83,1:airplane,9:ship,+,0.59
84,1:airplane,1:airplane,,0.583
85,1:airplane,1:airplane,,0.518
86,1:airplane,8:horse,+,0.639
87,1:airplane,1:airplane,,0.852
88,1:airplane,1:airplane,,0.518
89,1:airplane,8:horse,+,0.638
90,1:airplane,9:ship,+,0.427
91,1:airplane,1:airplane,,0.853
92,1:airplane,1:airplane,,0.853
93,1:airplane,1:airplane,,0.852
94,1:airplane,1:airplane,,0.852
95,1:airplane,1:airplane,,0.412
96,1:airplane,1:airplane,,0.852
97,1:airplane,9:ship,+,0.686
98,1:airplane,1:airplane,,0.853
99,1:airplane,1:airplane,,0.853
100,1:airplane,1:airplane,,0.583
101,1:airplane,1:airplane,,0.853
102,1:airplane,1:airplane,,0.853
103,1:airplane,9:ship,+,0.392
104,1:airplane,1:airplane,,0.412
105,1:airplane,8:horse,+,0.638
106,1:airplane,9:ship,+,0.44
107,1:airplane,1:airplane,,0.583
108,1:airplane,1:airplane,,0.851
109,1:airplane,1:airplane,,0.851
110,1:airplane,1:airplane,,0.412
111,1:airplane,1:airplane,,0.518
112,1:airplane,1:airplane,,0.853
113,1:airplane,4:cat,+,0.461
114,1:airplane,1:airplane,,0.853
115,1:airplane,1:airplane,,0.412
116,1:airplane,9:ship,+,0.59
117,1:airplane,8:horse,+,0.634
118,1:airplane,1:airplane,,0.583
119,1:airplane,1:airplane,,0.854
120,2:automobile,2:automobile,,0.671
121,2:automobile,6:dog,+,0.573
122,2:automobile,10:truck,+,0.651
123,2:automobile,6:dog,+,0.571
124,2:automobile,2:automobile,,0.671
125,2:automobile,4:cat,+,0.487
126,2:automobile,2:automobile,,0.28
127,2:automobile,2:automobile,,0.321
128,2:automobile,8:horse,+,0.661
129,2:automobile,2:automobile,,0.28
130,2:automobile,2:automobile,,0.654
131,2:automobile,2:automobile,,0.671
132,2:automobile,2:automobile,,0.666
133,2:automobile,2:automobile,,0.671
134,2:automobile,10:truck,+,0.678
135,2:automobile,6:dog,+,0.57
136,2:automobile,10:truck,+,0.679
137,2:automobile,10:truck,+,0.677
138,2:automobile,10:truck,+,0.679
139,2:automobile,8:horse,+,0.638
140,2:automobile,2:automobile,,0.671
141,2:automobile,9:ship,+,0.586
142,2:automobile,8:horse,+,0.638
143,2:automobile,3:bird,+,0.719
144,2:automobile,9:ship,+,0.686
145,2:automobile,2:automobile,,0.669
146,2:automobile,2:automobile,,0.31
147,2:automobile,8:horse,+,0.647
148,2:automobile,2:automobile,,0.31
149,2:automobile,8:horse,+,0.661
150,2:automobile,3:bird,+,0.677
151,2:automobile,6:dog,+,0.57
152,2:automobile,3:bird,+,0.477
153,2:automobile,10:truck,+,0.679
154,2:automobile,8:horse,+,0.638
155,2:automobile,2:automobile,,0.646
156,2:automobile,8:horse,+,0.638
157,2:automobile,2:automobile,,0.671
158,8:horse,5:deer,+,0.478
159,8:horse,8:horse,,0.639
160,8:horse,5:deer,+,0.484
161,8:horse,8:horse,,0.647
162,8:horse,5:deer,+,0.454
163,8:horse,9:ship,+,0.686
164,8:horse,8:horse,,0.767
165,8:horse,8:horse,,0.636
166,8:horse,1:airplane,+,0.583
167,8:horse,6:dog,+,0.575
168,8:horse,5:deer,+,0.416
169,8:horse,3:bird,+,0.719
170,8:horse,8:horse,,0.634
171,8:horse,8:horse,,0.634
172,8:horse,8:horse,,0.634
173,8:horse,7:frog,+,0.587
174,8:horse,8:horse,,0.767
175,8:horse,8:horse,,0.638
176,8:horse,8:horse,,0.641
177,8:horse,8:horse,,0.647
178,8:horse,5:deer,+,0.461
179,8:horse,5:deer,+,0.461
180,8:horse,5:deer,+,0.457
181,8:horse,8:horse,,0.641
182,8:horse,8:horse,,0.638
183,8:horse,4:cat,+,0.454
184,8:horse,3:bird,+,0.517
185,8:horse,3:bird,+,0.712
186,8:horse,8:horse,,0.638
187,8:horse,6:dog,+,0.57
188,8:horse,8:horse,,0.634
189,8:horse,8:horse,,0.638
190,8:horse,8:horse,,0.767
191,8:horse,8:horse,,0.647
192,8:horse,8:horse,,0.647
193,8:horse,8:horse,,0.639
194,8:horse,8:horse,,0.647
195,8:horse,8:horse,,0.638
196,8:horse,2:automobile,+,0.283
197,8:horse,5:deer,+,0.461
198,8:horse,8:horse,,0.647
199,8:horse,3:bird,+,0.477
200,3:bird,5:deer,+,0.461
201,3:bird,3:bird,,0.504
202,3:bird,3:bird,,0.504
203,3:bird,8:horse,+,0.638
204,3:bird,7:frog,+,0.588
205,3:bird,5:deer,+,0.416
206,3:bird,5:deer,+,0.461
207,3:bird,5:deer,+,0.461
208,3:bird,3:bird,,0.477
209,3:bird,3:bird,,0.677
210,3:bird,1:airplane,+,0.854
211,3:bird,4:cat,+,0.461
212,3:bird,5:deer,+,0.484
213,3:bird,5:deer,+,0.461
214,3:bird,6:dog,+,0.57
215,3:bird,10:truck,+,0.677
216,3:bird,3:bird,,0.504
217,3:bird,5:deer,+,0.478
218,3:bird,7:frog,+,0.585
219,3:bird,3:bird,,0.719
220,3:bird,7:frog,+,0.587
221,3:bird,3:bird,,0.688
222,3:bird,5:deer,+,0.416
223,3:bird,3:bird,,0.477
224,3:bird,3:bird,,0.517
225,3:bird,5:deer,+,0.461
226,3:bird,5:deer,+,0.461
227,3:bird,4:cat,+,0.468
228,3:bird,5:deer,+,0.416
229,3:bird,1:airplane,+,0.853
230,3:bird,3:bird,,0.477
231,3:bird,6:dog,+,0.571
232,3:bird,3:bird,,0.517
233,3:bird,3:bird,,0.677
234,3:bird,3:bird,,0.517
235,3:bird,3:bird,,0.293
236,3:bird,5:deer,+,0.484
237,3:bird,3:bird,,0.677
238,3:bird,3:bird,,0.677
239,3:bird,3:bird,,0.477
240,3:bird,5:deer,+,0.457
241,4:cat,2:automobile,+,0.672
242,4:cat,6:dog,+,0.571
243,4:cat,7:frog,+,0.588
244,4:cat,4:cat,,0.476
245,4:cat,3:bird,+,0.71
246,4:cat,9:ship,+,0.285
247,4:cat,2:automobile,+,0.646
248,4:cat,1:airplane,+,0.577
249,4:cat,3:bird,+,0.477
250,4:cat,4:cat,,0.472
251,4:cat,10:truck,+,0.677
252,4:cat,8:horse,+,0.647
253,4:cat,9:ship,+,0.624
254,4:cat,7:frog,+,0.585
255,4:cat,7:frog,+,0.585
256,4:cat,4:cat,,0.461
257,4:cat,4:cat,,0.495
258,4:cat,3:bird,+,0.504
259,4:cat,10:truck,+,0.679
260,4:cat,5:deer,+,0.484
261,4:cat,8:horse,+,0.636
262,4:cat,6:dog,+,0.572
263,4:cat,3:bird,+,0.719
264,4:cat,4:cat,,0.495
265,4:cat,3:bird,+,0.517
266,4:cat,10:truck,+,0.679
267,4:cat,4:cat,,0.464
268,4:cat,5:deer,+,0.484
269,4:cat,1:airplane,+,0.427
270,4:cat,1:airplane,+,0.272
271,4:cat,4:cat,,0.487
272,4:cat,4:cat,,0.464
273,4:cat,4:cat,,0.464
274,4:cat,4:cat,,0.454
275,4:cat,9:ship,+,0.586
276,4:cat,4:cat,,0.454
277,4:cat,6:dog,+,0.575
278,4:cat,2:automobile,+,0.646
279,4:cat,4:cat,,0.495
280,4:cat,5:deer,+,0.454
281,4:cat,6:dog,+,0.574
282,4:cat,4:cat,,0.409
283,10:truck,10:truck,,0.676
284,10:truck,10:truck,,0.676
285,10:truck,10:truck,,0.677
286,10:truck,10:truck,,0.68
287,10:truck,10:truck,,0.68
288,10:truck,10:truck,,0.68
289,10:truck,10:truck,,0.679
290,10:truck,2:automobile,+,0.321
291,10:truck,10:truck,,0.679
292,10:truck,10:truck,,0.679
293,10:truck,4:cat,+,0.495
294,10:truck,2:automobile,+,0.671
295,10:truck,2:automobile,+,0.646
296,10:truck,10:truck,,0.677
297,10:truck,10:truck,,0.68
298,10:truck,9:ship,+,0.44
299,10:truck,10:truck,,0.677
300,10:truck,7:frog,+,0.588
301,10:truck,8:horse,+,0.655
302,10:truck,10:truck,,0.651
303,10:truck,10:truck,,0.68
304,10:truck,10:truck,,0.679
305,10:truck,10:truck,,0.677
306,10:truck,10:truck,,0.679
307,10:truck,10:truck,,0.679
308,10:truck,2:automobile,+,0.671
309,10:truck,6:dog,+,0.57
310,10:truck,10:truck,,0.68
311,10:truck,8:horse,+,0.532
312,10:truck,3:bird,+,0.719
313,10:truck,10:truck,,0.676
314,10:truck,10:truck,,0.651
315,10:truck,10:truck,,0.679
316,10:truck,9:ship,+,0.586
317,10:truck,1:airplane,+,0.583
318,10:truck,10:truck,,0.679
319,10:truck,10:truck,,0.679
320,10:truck,10:truck,,0.68
321,10:truck,10:truck,,0.651
322,6:dog,2:automobile,+,0.28
323,6:dog,5:deer,+,0.484
324,6:dog,6:dog,,0.57
325,6:dog,6:dog,,0.57
326,6:dog,1:airplane,+,0.491
327,6:dog,4:cat,+,0.473
328,6:dog,9:ship,+,0.624
329,6:dog,6:dog,,0.57
330,6:dog,6:dog,,0.574
331,6:dog,6:dog,,0.575
332,6:dog,6:dog,,0.571
333,6:dog,6:dog,,0.571
334,6:dog,3:bird,+,0.517
335,6:dog,6:dog,,0.575
336,6:dog,6:dog,,0.575
337,6:dog,2:automobile,+,0.671
338,6:dog,6:dog,,0.573
339,6:dog,6:dog,,0.57
340,6:dog,6:dog,,0.573
341,6:dog,1:airplane,+,0.577
342,6:dog,6:dog,,0.571
343,6:dog,6:dog,,0.572
344,6:dog,6:dog,,0.572
345,6:dog,6:dog,,0.575
346,6:dog,6:dog,,0.57
347,6:dog,6:dog,,0.571
348,6:dog,8:horse,+,0.638
349,6:dog,7:frog,+,0.585
350,6:dog,1:airplane,+,0.577
351,6:dog,6:dog,,0.571
352,6:dog,6:dog,,0.571
353,6:dog,6:dog,,0.57
354,6:dog,6:dog,,0.57
355,6:dog,8:horse,+,0.641
356,6:dog,2:automobile,+,0.671
357,6:dog,6:dog,,0.573
358,6:dog,6:dog,,0.571
359,6:dog,5:deer,+,0.478
360,6:dog,6:dog,,0.571
361,6:dog,3:bird,+,0.517
362,6:dog,4:cat,+,0.476
363,5:deer,6:dog,+,0.573
364,5:deer,1:airplane,+,0.583
365,5:deer,5:deer,,0.484
366,5:deer,5:deer,,0.461
367,5:deer,6:dog,+,0.571
368,5:deer,3:bird,+,0.477
369,5:deer,7:frog,+,0.585
370,5:deer,5:deer,,0.484
371,5:deer,5:deer,,0.461
372,5:deer,3:bird,+,0.477
373,5:deer,8:horse,+,0.638
374,5:deer,3:bird,+,0.477
375,5:deer,5:deer,,0.484
376,5:deer,5:deer,,0.478
377,5:deer,8:horse,+,0.638
378,5:deer,5:deer,,0.416
379,5:deer,4:cat,+,0.464
380,5:deer,5:deer,,0.416
